DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
Agua,,0.0,,,0.0,MATERIAL
Alambre galvanizado,,0.0,,,0.0,MATERIAL
Alarma audible con nivel sonoro entre 78 y 105 DBA,,0.0,,,0.0,MATERIAL
Alquiler local,,0.0,,,0.0,EQUIPO
Amoladora,,0.0,,,0.0,EQUIPO
Amoladora Eléctrica,,0.0,,,0.0,EQUIPO
Amoladora eléctrica,,0.0,,,0.0,EQUIPO
Amortiguador de pulsaciones,,0.0,,,0.0,MATERIAL
Amperaje nominal de 15-40 Amperios,,0.0,,,0.0,MATERIAL
"Analizador de carbono orgánico total, Rango 0,4 a 100 PPM como carbono",,0.0,,,0.0,MATERIAL
Andamios,,0.0,,,0.0,EQUIPO
"Arandela de presión 3/8""",,0.0,,,0.0,MATERIAL
"Arandela de presión de aleación bronce de silicio 3/8""",,0.0,,,0.0,MATERIAL
"Arandela de presión de aleación bronce silicio 1/2""",,0.0,,,0.0,MATERIAL
"Arandela plana 3/8""",,0.0,,,0.0,MATERIAL
"Arandela plana de aleación bronce de silicio 1/2""",,0.0,,,0.0,MATERIAL
"Arandela plana de aleación bronce de silicio 3/8""",,0.0,,,0.0,MATERIAL
Arena puesta en obra,,0.0,,,0.0,MATERIAL
Arena silícea para filtros PTAP Bellavista,,0.0,,,0.0,MATERIAL
Armario de Potencia,,0.0,,,0.0,MATERIAL
Armario metalico 2000x1000x600 mm,,0.0,,,0.0,MATERIAL
Armario metálico 2000x1000x600 mm,,0.0,,,0.0,MATERIAL
Armario metálico 2000x800x800 mm,,0.0,,,0.0,MATERIAL
Aviso de salida doble lado con batería,,0.0,,,0.0,MATERIAL
BAJANTE DE AGUAS LLUVIA,,0.0,,,0.0,MATERIAL
BANDA DE PVC DE 18CM,,0.0,,,0.0,MATERIAL
BANDA DE PVC DE 18CM,m,10.29,,,0.0,MATERIAL
BANDAS (CINTAS) PVC 18 CM,,0.0,,,0.0,MATERIAL
"BANDEJA PORTACABLE HG TIPO ESCALERILLA 0,30X0,15 M",,0.0,,,0.0,MATERIAL
"BARRAS DE 1 M 1/4X1/4"" PARA 450 A",,0.0,,,0.0,MATERIAL
"BARRAS DE 1 M 1/8X1/2"" PARA 172 A",,0.0,,,0.0,MATERIAL
"BARRAS DE ANCLAJE ACERO GRADO 60, FY=420MPA (4200 KG/CM2)",,0.0,,,0.0,MATERIAL
"BARREDORA DE LODOS PARA DECANTADOR DE LODOS DE SEDIMENTADORES ANCHO DEL TANQUE 5.00 M, ALTURA 3.50 M, LONGITUD 30.0 M.",,0.0,,,0.0,MATERIAL
BAÑOS PORTÁTILES.,,0.0,,,0.0,MATERIAL
BLOQUE ALIVIANADO 10X20X40 CM,,0.0,,,0.0,MATERIAL
BLOQUE CARGA 20X20X40,,0.0,,,0.0,MATERIAL
BLOQUE DE CARGA 15 X 20 X 40 CM,,0.0,,,0.0,MATERIAL
"BOMBA CENTRIFUGA HORIZONTAL, CAUDAL 244 M3/HORA; TDH = 41 MCA.",,0.0,,,0.0,MATERIAL
"BOMBA CENTRIFUGA VERTICAL MULTIETAPA PARA AGUA DE LAVADO 15 M3/H, TDH=7.00 BARES",,0.0,,,0.0,MATERIAL
"BOMBA CENTRÍFUGA HORIZONTAL PARA BOMBEO DE LODOS, CONCENTRACIÓN 0.8%, Q = 28 M3/H, TDH = 12.5 MCA",,0.0,,,0.0,MATERIAL
"BOMBA CENTRÍFUGA HORIZONTAL, PARA LAVADO DE SEDIMENTADORES Q = 10,8 M3/H, TDH 35 M",,0.0,,,0.0,MATERIAL
"BOMBA DE LÓBULOS ROTATIVOS DE LODOS, SUCCIÓN D = 100MM, DESCARGA D=100MM; CAUDAL 33.6 M3/HORA, SUCCIÓN POSITIVA, PRESIÓN DE DESCARGA 17.6 MCA, VELOCIDAD MÁXIMA 500 RPM. POTENCIA (VALOR REFERENCIAL 5.0HP), EXTREMOS BB TIPO CUELLO DE GANSO.",,0.0,,,0.0,MATERIAL
BOMBA PARA HORMIGÓN (INCLUYE TUBERÍA) O SIMILAR,,0.0,,,0.0,EQUIPO
BORDILLO PREFABRICADO,,0.0,,,0.0,MATERIAL
BOTIQUÍN DE PRIMEROS AUXILIOS.,,0.0,,,0.0,MATERIAL
BRIDA DE NYLON PARA AMARRE,,0.0,,,0.0,MATERIAL
"BRIDA FIJA PVC, DN 315MM",,0.0,,,0.0,MATERIAL
"BRIDA PVC DN 75 MM, 1,25 MPA",,0.0,,,0.0,MATERIAL
"BRIDA PVC DN=100 MM, 1,25 MPA",,0.0,,,0.0,MATERIAL
